state_abbreviation,65 Yr+,Female,White,Black/African American,American Indian/Alaskan Native,Asian,Native Hawaiian/Pacific Islander,Two or More Races,Hispanic/Latino,White alone/Not Hispanic or Latino,Foreign-born,High School Graduate or Higher,Bachelors Degree or Higher,Veterans,Median Household Income,Persons Living Below Poverty Level,Of Voting Age
AK,10.0,46.0,53.0,2.0,32.0,6.0,1.0,7.0,5.0,49.0,7.0,89.0,21.0,0.0,62611.0,13.0,76.0
AL,17.0,51.0,68.0,29.0,1.0,1.0,0.0,1.0,4.0,65.0,2.0,79.0,16.0,0.0,37779.0,22.0,78.0
AR,18.0,51.0,80.0,16.0,1.0,1.0,0.0,2.0,5.0,76.0,3.0,81.0,14.0,0.0,35862.0,22.0,77.0
AZ,19.0,50.0,79.0,2.0,15.0,1.0,0.0,2.0,31.0,51.0,11.0,82.0,18.0,0.0,42891.0,21.0,76.0
CA,16.0,50.0,82.0,4.0,3.0,7.0,0.0,4.0,30.0,55.0,17.0,83.0,25.0,0.0,55558.0,16.0,77.0
CO,17.0,48.0,93.0,2.0,2.0,1.0,0.0,2.0,20.0,75.0,7.0,89.0,29.0,0.0,50853.0,14.0,79.0
CT,16.0,51.0,86.0,8.0,0.0,4.0,0.0,2.0,11.0,77.0,10.0,90.0,34.0,0.0,70503.0,9.0,79.0
DC,11.0,53.0,44.0,49.0,1.0,4.0,0.0,3.0,10.0,36.0,14.0,88.0,52.0,0.0,65830.0,19.0,82.0
DE,18.0,52.0,73.0,21.0,1.0,3.0,0.0,3.0,9.0,66.0,7.0,87.0,26.0,0.0,57465.0,12.0,78.0
FL,20.0,49.0,81.0,15.0,1.0,2.0,0.0,2.0,13.0,68.0,10.0,83.0,20.0,0.0,43716.0,18.0,80.0
GA,16.0,50.0,68.0,28.0,0.0,1.0,0.0,2.0,6.0,63.0,4.0,79.0,17.0,0.0,40365.0,22.0,77.0
HI,19.0,50.0,31.0,1.0,0.0,26.0,18.0,23.0,9.0,28.0,16.0,90.0,30.0,0.0,61791.0,13.0,82.0
IA,19.0,50.0,96.0,1.0,0.0,1.0,0.0,1.0,4.0,92.0,3.0,90.0,20.0,0.0,49243.0,12.0,77.0
ID,17.0,49.0,94.0,1.0,2.0,1.0,0.0,2.0,13.0,83.0,6.0,86.0,20.0,0.0,42884.0,16.0,75.0
IL,18.0,50.0,92.0,5.0,0.0,1.0,0.0,1.0,5.0,87.0,3.0,88.0,19.0,0.0,49112.0,14.0,78.0
IN,16.0,50.0,94.0,3.0,0.0,1.0,0.0,1.0,4.0,91.0,2.0,86.0,18.0,0.0,47863.0,14.0,77.0
KS,19.0,50.0,94.0,2.0,1.0,1.0,0.0,2.0,10.0,85.0,4.0,89.0,21.0,0.0,46167.0,13.0,76.0
KY,16.0,50.0,94.0,4.0,0.0,1.0,0.0,1.0,2.0,92.0,2.0,78.0,15.0,0.0,38526.0,21.0,77.0
LA,15.0,50.0,65.0,32.0,1.0,1.0,0.0,1.0,3.0,62.0,2.0,79.0,16.0,0.0,42016.0,21.0,76.0
MA,17.0,51.0,86.0,7.0,1.0,4.0,0.0,2.0,9.0,79.0,12.0,90.0,37.0,0.0,64871.0,12.0,80.0
MD,16.0,51.0,73.0,21.0,0.0,3.0,0.0,2.0,6.0,69.0,7.0,88.0,30.0,0.0,69404.0,11.0,78.0
ME,20.0,51.0,96.0,1.0,1.0,1.0,0.0,2.0,1.0,95.0,3.0,90.0,25.0,0.0,45581.0,15.0,81.0
MI,20.0,50.0,91.0,4.0,2.0,1.0,0.0,2.0,3.0,88.0,3.0,89.0,20.0,0.0,43618.0,17.0,80.0
MN,18.0,50.0,93.0,2.0,2.0,1.0,0.0,2.0,4.0,89.0,3.0,90.0,22.0,0.0,52327.0,12.0,77.0
MO,18.0,50.0,93.0,4.0,1.0,1.0,0.0,2.0,3.0,91.0,2.0,84.0,16.0,0.0,41126.0,18.0,77.0
MS,15.0,51.0,56.0,41.0,1.0,1.0,0.0,1.0,2.0,55.0,2.0,78.0,16.0,0.0,34600.0,26.0,76.0
MT,20.0,49.0,89.0,0.0,8.0,0.0,0.0,2.0,3.0,87.0,2.0,90.0,22.0,0.0,43596.0,15.0,78.0
NC,18.0,51.0,74.0,21.0,2.0,1.0,0.0,2.0,7.0,68.0,5.0,82.0,20.0,0.0,41524.0,20.0,79.0
ND,20.0,49.0,90.0,1.0,7.0,1.0,0.0,2.0,3.0,88.0,1.0,88.0,20.0,0.0,51646.0,12.0,78.0
NE,20.0,50.0,95.0,1.0,2.0,1.0,0.0,1.0,6.0,90.0,3.0,91.0,20.0,0.0,46595.0,12.0,77.0
NH,18.0,51.0,95.0,1.0,0.0,2.0,0.0,2.0,2.0,93.0,4.0,91.0,31.0,0.0,58739.0,10.0,81.0
NJ,15.0,51.0,77.0,13.0,1.0,7.0,0.0,2.0,17.0,63.0,17.0,88.0,34.0,0.0,72387.0,10.0,78.0
NM,19.0,49.0,86.0,2.0,9.0,1.0,0.0,2.0,47.0,42.0,7.0,82.0,20.0,0.0,40432.0,21.0,77.0
NV,18.0,47.0,87.0,3.0,4.0,2.0,0.0,3.0,18.0,72.0,9.0,86.0,17.0,0.0,52271.0,15.0,79.0
NY,17.0,50.0,87.0,7.0,1.0,3.0,0.0,2.0,8.0,82.0,8.0,88.0,26.0,0.0,54496.0,14.0,79.0
OH,17.0,50.0,93.0,4.0,0.0,1.0,0.0,2.0,3.0,91.0,2.0,87.0,18.0,0.0,47136.0,15.0,77.0
OK,17.0,50.0,78.0,4.0,11.0,1.0,0.0,6.0,9.0,71.0,3.0,84.0,18.0,0.0,42643.0,18.0,76.0
OR,20.0,50.0,91.0,1.0,2.0,2.0,0.0,3.0,12.0,81.0,6.0,88.0,22.0,0.0,45103.0,17.0,79.0
PA,18.0,50.0,92.0,5.0,0.0,1.0,0.0,1.0,4.0,89.0,3.0,88.0,21.0,0.0,49213.0,13.0,80.0
RI,18.0,52.0,91.0,4.0,1.0,3.0,0.0,2.0,7.0,85.0,9.0,89.0,38.0,0.0,65333.0,10.0,81.0
SC,17.0,51.0,61.0,36.0,1.0,1.0,0.0,1.0,4.0,57.0,3.0,81.0,19.0,0.0,39189.0,21.0,78.0
SD,18.0,49.0,83.0,1.0,14.0,1.0,0.0,2.0,3.0,81.0,1.0,88.0,21.0,0.0,45650.0,17.0,75.0
TN,18.0,50.0,90.0,8.0,0.0,1.0,0.0,2.0,3.0,87.0,2.0,80.0,16.0,0.0,39358.0,19.0,78.0
TX,17.0,49.0,89.0,7.0,1.0,1.0,0.0,2.0,34.0,57.0,9.0,78.0,18.0,0.0,45651.0,18.0,76.0
UT,14.0,49.0,93.0,1.0,3.0,1.0,0.0,2.0,9.0,85.0,5.0,91.0,24.0,0.0,53591.0,13.0,70.0
VA,18.0,50.0,76.0,19.0,1.0,2.0,0.0,2.0,5.0,71.0,5.0,83.0,24.0,0.0,52469.0,15.0,80.0
VT,18.0,50.0,96.0,1.0,0.0,1.0,0.0,2.0,2.0,94.0,3.0,90.0,31.0,0.0,51800.0,12.0,81.0
WA,19.0,50.0,89.0,2.0,3.0,3.0,0.0,3.0,14.0,77.0,9.0,88.0,24.0,0.0,49360.0,16.0,78.0
WI,18.0,50.0,93.0,2.0,3.0,1.0,0.0,1.0,4.0,90.0,3.0,90.0,21.0,0.0,49475.0,13.0,78.0
WV,19.0,50.0,96.0,2.0,0.0,0.0,0.0,1.0,1.0,94.0,1.0,82.0,15.0,0.0,38216.0,19.0,80.0
WY,16.0,49.0,94.0,1.0,2.0,1.0,0.0,2.0,8.0,87.0,3.0,92.0,24.0,0.0,55931.0,12.0,77.0
